stimulusType;stimulusValue;stimulusValueType;correctResponse;keyCode;response;keyIndex
incongruent;11;text;2;Digit2;2;1
incongruent;111;text;3;Digit3;3;2
incongruent;1111;text;4;Digit4;4;3
incongruent;2222;text;4;Digit4;4;3
incongruent;44;text;2;Digit2;2;1
congruent;4444;text;4;Digit4;4;3
congruent;22;text;2;Digit2;2;1
incongruent;2222;text;4;Digit4;4;3
incongruent;3;text;1;Digit1;1;0
congruent;22;text;2;Digit2;2;1
congruent;4444;text;4;Digit4;4;3
incongruent;3333;text;4;Digit4;4;3
incongruent;3333;text;4;Digit4;4;3
congruent;333;text;3;Digit3;3;2
incongruent;3;text;1;Digit1;1;0
incongruent;444;text;3;Digit3;3;2
incongruent;111;text;3;Digit3;3;2
congruent;4444;text;4;Digit4;4;3
incongruent;2;text;1;Digit1;1;0
incongruent;1111;text;4;Digit4;4;3
incongruent;222;text;3;Digit3;3;2
incongruent;3;text;1;Digit1;1;0
incongruent;2;text;1;Digit1;1;0
